company_name,country,phone,contact_title,contact_name,fax,address,city,postal_code,customer_id,region
Old World Delicatessen,USA,(907) 555-7584,Sales Representative,Rene Phillips,(907) 555-2880,2743 Bering St.,Anchorage,99508,OLDWO,AK
Ottilies Käseladen,Germany,0221-0644327,Owner,Henriette Pfalzheim,0221-0765721,Mehrheimerstr. 369,Köln,50739,OTTIK,SP
Paris spécialités,France,(1) 42.34.22.66,Owner,Marie Bertrand,(1) 42.34.22.77,"265, boulevard Charonne",Paris,75012,PARIS,SP
Pericles Comidas clásicas,Mexico,(5) 552-3745,Sales Representative,Guillermo Fernández,(5) 545-3745,Calle Dr. Jorge Cash 321,México D.F.,05033,PERIC,SP
Piccolo und mehr,Austria,6562-9722,Sales Manager,Georg Pipps,6562-9723,Geislweg 14,Salzburg,5020,PICCO,SP
Princesa Isabel Vinhos,Portugal,(1) 356-5634,Sales Representative,Isabel de Castro,(02) 201 24 68,Estrada da saúde n. 58,Lisboa,1756,PRINI,SP
Que Delícia,Brazil,(21) 555-4252,Accounting Manager,Bernardo Batista,(21) 555-4545,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,QUEDE,RJ
Queen Cozinha,Brazil,(11) 555-1189,Marketing Assistant,Lúcia Carvalho,(02) 201 24 68,"Alameda dos Canàrios, 891",Sao Paulo,05487-020,QUEEN,SP
QUICK-Stop,Germany,0372-035188,Accounting Manager,Horst Kloss,(02) 201 24 68,Taucherstraße 10,Cunewalde,01307,QUICK,SP
Rancho grande,Argentina,(1) 123-5555,Sales Representative,Sergio Gutiérrez,(1) 123-5556,Av. del Libertador 900,Buenos Aires,1010,RANCH,SP
Rattlesnake Canyon Grocery,USA,(505) 555-5939,Assistant Sales Representative,Paula Wilson,(505) 555-3620,2817 Milton Dr.,Albuquerque,87110,RATTC,NM
Reggiani Caseifici,Italy,0522-556721,Sales Associate,Maurizio Moroni,0522-556722,Strada Provinciale 124,Reggio Emilia,42100,REGGC,SP
Ricardo Adocicados,Brazil,(21) 555-3412,Assistant Sales Agent,Janete Limeira,(02) 201 24 68,"Av. Copacabana, 267",Rio de Janeiro,02389-890,RICAR,RJ
Richter Supermarkt,Switzerland,0897-034214,Sales Manager,Michael Holz,(02) 201 24 68,Grenzacherweg 237,Genève,1203,RICSU,SP
Romero y tomillo,Spain,(91) 745 6200,Accounting Manager,Alejandra Camino,(91) 745 6210,"Gran Vía, 1",Madrid,28001,ROMEY,SP
Santé Gourmet,Norway,07-98 92 35,Owner,Jonas Bergulfsen,07-98 92 47,Erling Skakkes gate 78,Stavern,4110,SANTG,SP
Save-a-lot Markets,USA,(208) 555-8097,Sales Representative,Jose Pavarotti,(02) 201 24 68,187 Suffolk Ln.,Boise,83720,SAVEA,ID
Seven Seas Imports,UK,(171) 555-1717,Sales Manager,Hari Kumar,(171) 555-5646,90 Wadhurst Rd.,London,OX15 4NB,SEVES,SP
Simons bistro,Denmark,31 12 34 56,Owner,Jytte Petersen,31 13 35 57,Vinbæltet 34,Kobenhavn,1734,SIMOB,SP
Spécialités du monde,France,(1) 47.55.60.10,Marketing Manager,Dominique Perrier,(1) 47.55.60.20,"25, rue Lauriston",Paris,75016,SPECD,SP
Split Rail Beer & Ale,USA,(307) 555-4680,Sales Manager,Art Braunschweiger,(307) 555-6525,P.O. Box 555,Lander,82520,SPLIR,WY
Suprêmes délices,Belgium,(071) 23 67 22 20,Accounting Manager,Pascale Cartrain,(071) 23 67 22 21,"Boulevard Tirou, 255",Charleroi,B-6000,SUPRD,SP
The Big Cheese,USA,(503) 555-3612,Marketing Manager,Liz Nixon,(02) 201 24 68,89 Jefferson Way Suite 2,Portland,97201,THEBI,OR
The Cracker Box,USA,(406) 555-5834,Marketing Assistant,Liu Wong,(406) 555-8083,55 Grizzly Peak Rd.,Butte,59801,THECR,MT
Toms Spezialitäten,Germany,0251-031259,Marketing Manager,Karin Josephs,0251-035695,Luisenstr. 48,Münster,44087,TOMSP,SP
Tortuga Restaurante,Mexico,(5) 555-2933,Owner,Miguel Angel Paolino,(02) 201 24 68,Avda. Azteca 123,México D.F.,05033,TORTU,SP
Tradição Hipermercados,Brazil,(11) 555-2167,Sales Representative,Anabela Domingues,(11) 555-2168,"Av. Inês de Castro, 414",Sao Paulo,05634-030,TRADH,SP
Trail's Head Gourmet Provisioners,USA,(206) 555-8257,Sales Associate,Helvetius Nagy,(206) 555-2174,722 DaVinci Blvd.,Kirkland,98034,TRAIH,WA
Vaffeljernet,Denmark,86 21 32 43,Sales Manager,Palle Ibsen,86 22 33 44,Smagsloget 45,Århus,8200,VAFFE,SP
Victuailles en stock,France,78.32.54.86,Sales Agent,Mary Saveley,78.32.54.87,"2, rue du Commerce",Lyon,69004,VICTE,SP
Vins et alcools Chevalier,France,26.47.15.10,Accounting Manager,Paul Henriot,26.47.15.11,59 rue de l'Abbaye,Reims,51100,VINET,SP
Die Wandernde Kuh,Germany,0711-020361,Sales Representative,Rita Müller,0711-035428,Adenauerallee 900,Stuttgart,70563,WANDK,SP
Wartian Herkku,Finland,981-443655,Accounting Manager,Pirkko Koskitalo,981-443655,Torikatu 38,Oulu,90110,WARTH,SP
Wellington Importadora,Brazil,(14) 555-8122,Sales Manager,Paula Parente,(02) 201 24 68,"Rua do Mercado, 12",Resende,08737-363,WELLI,SP
White Clover Markets,USA,(206) 555-4112,Owner,Karl Jablonski,(206) 555-4115,305 - 14th Ave. S. Suite 3B,Seattle,98128,WHITC,WA
Wilman Kala,Finland,90-224 8858,Owner/Marketing Assistant,Matti Karttunen,90-224 8858,Keskuskatu 45,Helsinki,21240,WILMK,SP
Wolski  Zajazd,Poland,(26) 642-7012,Owner,Zbyszek Piestrzeniewicz,(26) 642-7012,ul. Filtrowa 68,Warszawa,01-012,WOLZA,SP
