contact_name,company_name,country,phone,contact_title,fax,address,city,postal_code,customer_id,region
Patricia McKenna,Hungry Owl All-Night Grocers,Ireland,2967 542,Sales Associate,2967 3333,8 Johnstown Road,Cork,1010,HUNGO,Co. Cork
Helen Bennett,Island Trading,UK,(198) 555-8888,Marketing Manager,(02) 201 24 68,Garden House Crowther Way,Cowes,PO31 7PJ,ISLAT,Isle of Wight
Philip Cramer,Königlich Essen,Germany,0555-09876,Sales Associate,(02) 201 24 68,Maubelstr. 90,Brandenburg,14776,KOENE,SP
Daniel Tonini,La corne d'abondance,France,30.59.84.10,Sales Representative,30.59.85.11,"67, avenue de l'Europe",Versailles,78000,LACOR,SP
Annette Roulet,La maison d'Asie,France,61.77.61.10,Sales Manager,61.77.61.11,1 rue Alsace-Lorraine,Toulouse,31000,LAMAI,SP
Yoshi Tannamuri,Laughing Bacchus Wine Cellars,Canada,(604) 555-3392,Marketing Assistant,(604) 555-7293,1900 Oak St.,Vancouver,V3F 2K1,LAUGB,BC
John Steel,Lazy K Kountry Store,USA,(509) 555-7969,Marketing Manager,(509) 555-6221,12 Orchestra Terrace,Walla Walla,99362,LAZYK,WA
Renate Messner,Lehmanns Marktstand,Germany,069-0245984,Sales Representative,069-0245874,Magazinweg 7,Frankfurt a.M.,60528,LEHMS,SP
Jaime Yorres,Let's Stop N Shop,USA,(415) 555-5938,Owner,(02) 201 24 68,87 Polk St. Suite 5,San Francisco,94117,LETSS,CA
Carlos González,LILA-Supermercado,Venezuela,(9) 331-6954,Accounting Manager,(9) 331-7256,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,LILAS,Lara
Felipe Izquierdo,LINO-Delicateses,Venezuela,(8) 34-56-12,Owner,(8) 34-93-93,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,LINOD,Nueva Esparta
Fran Wilson,Lonesome Pine Restaurant,USA,(503) 555-9573,Sales Manager,(503) 555-9646,89 Chiaroscuro Rd.,Portland,97219,LONEP,OR
Giovanni Rovelli,Magazzini Alimentari Riuniti,Italy,035-640230,Marketing Manager,035-640231,Via Ludovico il Moro 22,Bergamo,24100,MAGAA,SP
Catherine Dewey,Maison Dewey,Belgium,(02) 201 24 67,Sales Agent,(02) 201 24 68,Rue Joseph-Bens 532,Bruxelles,B-1180,MAISD,SP
Jean Fresnière,Mère Paillarde,Canada,(514) 555-8054,Marketing Assistant,(514) 555-8055,43 rue St. Laurent,Montréal,H1J 1C3,MEREP,Québec
Alexander Feuer,Morgenstern Gesundkost,Germany,0342-023176,Marketing Assistant,(02) 201 24 68,Heerstr. 22,Leipzig,04179,MORGK,SP
Simon Crowther,North/South,UK,(171) 555-7733,Sales Associate,(171) 555-2530,South House 300 Queensbridge,London,SW7 1RZ,NORTS,SP
Yvonne Moncada,Océano Atlántico Ltda.,Argentina,(1) 135-5333,Sales Agent,(1) 135-5535,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,OCEAN,SP
Rene Phillips,Old World Delicatessen,USA,(907) 555-7584,Sales Representative,(907) 555-2880,2743 Bering St.,Anchorage,99508,OLDWO,AK
Henriette Pfalzheim,Ottilies Käseladen,Germany,0221-0644327,Owner,0221-0765721,Mehrheimerstr. 369,Köln,50739,OTTIK,SP
Marie Bertrand,Paris spécialités,France,(1) 42.34.22.66,Owner,(1) 42.34.22.77,"265, boulevard Charonne",Paris,75012,PARIS,SP
Guillermo Fernández,Pericles Comidas clásicas,Mexico,(5) 552-3745,Sales Representative,(5) 545-3745,Calle Dr. Jorge Cash 321,México D.F.,05033,PERIC,SP
Georg Pipps,Piccolo und mehr,Austria,6562-9722,Sales Manager,6562-9723,Geislweg 14,Salzburg,5020,PICCO,SP
Isabel de Castro,Princesa Isabel Vinhos,Portugal,(1) 356-5634,Sales Representative,(02) 201 24 68,Estrada da saúde n. 58,Lisboa,1756,PRINI,SP
Bernardo Batista,Que Delícia,Brazil,(21) 555-4252,Accounting Manager,(21) 555-4545,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,QUEDE,RJ
Lúcia Carvalho,Queen Cozinha,Brazil,(11) 555-1189,Marketing Assistant,(02) 201 24 68,"Alameda dos Canàrios, 891",Sao Paulo,05487-020,QUEEN,SP
Horst Kloss,QUICK-Stop,Germany,0372-035188,Accounting Manager,(02) 201 24 68,Taucherstraße 10,Cunewalde,01307,QUICK,SP
Sergio Gutiérrez,Rancho grande,Argentina,(1) 123-5555,Sales Representative,(1) 123-5556,Av. del Libertador 900,Buenos Aires,1010,RANCH,SP
Paula Wilson,Rattlesnake Canyon Grocery,USA,(505) 555-5939,Assistant Sales Representative,(505) 555-3620,2817 Milton Dr.,Albuquerque,87110,RATTC,NM
Maurizio Moroni,Reggiani Caseifici,Italy,0522-556721,Sales Associate,0522-556722,Strada Provinciale 124,Reggio Emilia,42100,REGGC,SP
Janete Limeira,Ricardo Adocicados,Brazil,(21) 555-3412,Assistant Sales Agent,(02) 201 24 68,"Av. Copacabana, 267",Rio de Janeiro,02389-890,RICAR,RJ
Michael Holz,Richter Supermarkt,Switzerland,0897-034214,Sales Manager,(02) 201 24 68,Grenzacherweg 237,Genève,1203,RICSU,SP
Alejandra Camino,Romero y tomillo,Spain,(91) 745 6200,Accounting Manager,(91) 745 6210,"Gran Vía, 1",Madrid,28001,ROMEY,SP
Jonas Bergulfsen,Santé Gourmet,Norway,07-98 92 35,Owner,07-98 92 47,Erling Skakkes gate 78,Stavern,4110,SANTG,SP
Jose Pavarotti,Save-a-lot Markets,USA,(208) 555-8097,Sales Representative,(02) 201 24 68,187 Suffolk Ln.,Boise,83720,SAVEA,ID
Hari Kumar,Seven Seas Imports,UK,(171) 555-1717,Sales Manager,(171) 555-5646,90 Wadhurst Rd.,London,OX15 4NB,SEVES,SP
Jytte Petersen,Simons bistro,Denmark,31 12 34 56,Owner,31 13 35 57,Vinbæltet 34,Kobenhavn,1734,SIMOB,SP
Dominique Perrier,Spécialités du monde,France,(1) 47.55.60.10,Marketing Manager,(1) 47.55.60.20,"25, rue Lauriston",Paris,75016,SPECD,SP
Art Braunschweiger,Split Rail Beer & Ale,USA,(307) 555-4680,Sales Manager,(307) 555-6525,P.O. Box 555,Lander,82520,SPLIR,WY
Pascale Cartrain,Suprêmes délices,Belgium,(071) 23 67 22 20,Accounting Manager,(071) 23 67 22 21,"Boulevard Tirou, 255",Charleroi,B-6000,SUPRD,SP
Liz Nixon,The Big Cheese,USA,(503) 555-3612,Marketing Manager,(02) 201 24 68,89 Jefferson Way Suite 2,Portland,97201,THEBI,OR
Liu Wong,The Cracker Box,USA,(406) 555-5834,Marketing Assistant,(406) 555-8083,55 Grizzly Peak Rd.,Butte,59801,THECR,MT
Karin Josephs,Toms Spezialitäten,Germany,0251-031259,Marketing Manager,0251-035695,Luisenstr. 48,Münster,44087,TOMSP,SP
Miguel Angel Paolino,Tortuga Restaurante,Mexico,(5) 555-2933,Owner,(02) 201 24 68,Avda. Azteca 123,México D.F.,05033,TORTU,SP
Anabela Domingues,Tradição Hipermercados,Brazil,(11) 555-2167,Sales Representative,(11) 555-2168,"Av. Inês de Castro, 414",Sao Paulo,05634-030,TRADH,SP
Helvetius Nagy,Trail's Head Gourmet Provisioners,USA,(206) 555-8257,Sales Associate,(206) 555-2174,722 DaVinci Blvd.,Kirkland,98034,TRAIH,WA
Palle Ibsen,Vaffeljernet,Denmark,86 21 32 43,Sales Manager,86 22 33 44,Smagsloget 45,Århus,8200,VAFFE,SP
Mary Saveley,Victuailles en stock,France,78.32.54.86,Sales Agent,78.32.54.87,"2, rue du Commerce",Lyon,69004,VICTE,SP
Paul Henriot,Vins et alcools Chevalier,France,26.47.15.10,Accounting Manager,26.47.15.11,59 rue de l'Abbaye,Reims,51100,VINET,SP
Rita Müller,Die Wandernde Kuh,Germany,0711-020361,Sales Representative,0711-035428,Adenauerallee 900,Stuttgart,70563,WANDK,SP
Pirkko Koskitalo,Wartian Herkku,Finland,981-443655,Accounting Manager,981-443655,Torikatu 38,Oulu,90110,WARTH,SP
Paula Parente,Wellington Importadora,Brazil,(14) 555-8122,Sales Manager,(02) 201 24 68,"Rua do Mercado, 12",Resende,08737-363,WELLI,SP
Karl Jablonski,White Clover Markets,USA,(206) 555-4112,Owner,(206) 555-4115,305 - 14th Ave. S. Suite 3B,Seattle,98128,WHITC,WA
Matti Karttunen,Wilman Kala,Finland,90-224 8858,Owner/Marketing Assistant,90-224 8858,Keskuskatu 45,Helsinki,21240,WILMK,SP
Zbyszek Piestrzeniewicz,Wolski  Zajazd,Poland,(26) 642-7012,Owner,(26) 642-7012,ul. Filtrowa 68,Warszawa,01-012,WOLZA,SP
