customer_id,company_name,country,phone,contact_title,contact_name,fax,address,city,postal_code,region
FRANS,Franchi S.p.A.,Italy,011-4988260,Sales Representative,Paolo Accorti,011-4988261,Via Monte Bianco 34,Torino,10100,SP
FURIB,Furia Bacalhau e Frutos do Mar,Portugal,(1) 354-2534,Sales Manager,Lino Rodriguez,(1) 354-2535,Jardim das rosas n. 32,Lisboa,1675,SP
GALED,Galería del gastrónomo,Spain,(93) 203 4560,Marketing Manager,Eduardo Saavedra,(93) 203 4561,"Rambla de Cataluña, 23",Barcelona,08022,SP
GODOS,Godos Cocina Típica,Spain,(95) 555 82 82,Sales Manager,José Pedro Freyre,(02) 201 24 68,"C/ Romero, 33",Sevilla,41101,SP
GOURL,Gourmet Lanchonetes,Brazil,(11) 555-9482,Sales Associate,André Fonseca,(02) 201 24 68,"Av. Brasil, 442",Campinas,04876-786,SP
GREAL,Great Lakes Food Market,USA,(503) 555-7555,Marketing Manager,Howard Snyder,(02) 201 24 68,2732 Baker Blvd.,Eugene,97403,OR
GROSR,GROSELLA-Restaurante,Venezuela,(2) 283-2951,Owner,Manuel Pereira,(2) 283-3397,5ª Ave. Los Palos Grandes,Caracas,1081,DF
HANAR,Hanari Carnes,Brazil,(21) 555-0091,Accounting Manager,Mario Pontes,(21) 555-8765,"Rua do Paço, 67",Rio de Janeiro,05454-876,RJ
HILAA,HILARION-Abastos,Venezuela,(5) 555-1340,Sales Representative,Carlos Hernández,(5) 555-1948,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Táchira
HUNGC,Hungry Coyote Import Store,USA,(503) 555-6874,Sales Representative,Yoshi Latimer,(503) 555-2376,City Center Plaza 516 Main St.,Elgin,97827,OR
HUNGO,Hungry Owl All-Night Grocers,Ireland,2967 542,Sales Associate,Patricia McKenna,2967 3333,8 Johnstown Road,Cork,1010,Co. Cork
ISLAT,Island Trading,UK,(198) 555-8888,Marketing Manager,Helen Bennett,(02) 201 24 68,Garden House Crowther Way,Cowes,PO31 7PJ,Isle of Wight
KOENE,Königlich Essen,Germany,0555-09876,Sales Associate,Philip Cramer,(02) 201 24 68,Maubelstr. 90,Brandenburg,14776,SP
LACOR,La corne d'abondance,France,30.59.84.10,Sales Representative,Daniel Tonini,30.59.85.11,"67, avenue de l'Europe",Versailles,78000,SP
LAMAI,La maison d'Asie,France,61.77.61.10,Sales Manager,Annette Roulet,61.77.61.11,1 rue Alsace-Lorraine,Toulouse,31000,SP
LAUGB,Laughing Bacchus Wine Cellars,Canada,(604) 555-3392,Marketing Assistant,Yoshi Tannamuri,(604) 555-7293,1900 Oak St.,Vancouver,V3F 2K1,BC
LAZYK,Lazy K Kountry Store,USA,(509) 555-7969,Marketing Manager,John Steel,(509) 555-6221,12 Orchestra Terrace,Walla Walla,99362,WA
LEHMS,Lehmanns Marktstand,Germany,069-0245984,Sales Representative,Renate Messner,069-0245874,Magazinweg 7,Frankfurt a.M.,60528,SP
LETSS,Let's Stop N Shop,USA,(415) 555-5938,Owner,Jaime Yorres,(02) 201 24 68,87 Polk St. Suite 5,San Francisco,94117,CA
LILAS,LILA-Supermercado,Venezuela,(9) 331-6954,Accounting Manager,Carlos González,(9) 331-7256,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Lara
LINOD,LINO-Delicateses,Venezuela,(8) 34-56-12,Owner,Felipe Izquierdo,(8) 34-93-93,Ave. 5 de Mayo Porlamar,I. de Margarita,4980,Nueva Esparta
LONEP,Lonesome Pine Restaurant,USA,(503) 555-9573,Sales Manager,Fran Wilson,(503) 555-9646,89 Chiaroscuro Rd.,Portland,97219,OR
MAGAA,Magazzini Alimentari Riuniti,Italy,035-640230,Marketing Manager,Giovanni Rovelli,035-640231,Via Ludovico il Moro 22,Bergamo,24100,SP
MAISD,Maison Dewey,Belgium,(02) 201 24 67,Sales Agent,Catherine Dewey,(02) 201 24 68,Rue Joseph-Bens 532,Bruxelles,B-1180,SP
MEREP,Mère Paillarde,Canada,(514) 555-8054,Marketing Assistant,Jean Fresnière,(514) 555-8055,43 rue St. Laurent,Montréal,H1J 1C3,Québec
MORGK,Morgenstern Gesundkost,Germany,0342-023176,Marketing Assistant,Alexander Feuer,(02) 201 24 68,Heerstr. 22,Leipzig,04179,SP
NORTS,North/South,UK,(171) 555-7733,Sales Associate,Simon Crowther,(171) 555-2530,South House 300 Queensbridge,London,SW7 1RZ,SP
OCEAN,Océano Atlántico Ltda.,Argentina,(1) 135-5333,Sales Agent,Yvonne Moncada,(1) 135-5535,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,1010,SP
OLDWO,Old World Delicatessen,USA,(907) 555-7584,Sales Representative,Rene Phillips,(907) 555-2880,2743 Bering St.,Anchorage,99508,AK
OTTIK,Ottilies Käseladen,Germany,0221-0644327,Owner,Henriette Pfalzheim,0221-0765721,Mehrheimerstr. 369,Köln,50739,SP
PARIS,Paris spécialités,France,(1) 42.34.22.66,Owner,Marie Bertrand,(1) 42.34.22.77,"265, boulevard Charonne",Paris,75012,SP
PERIC,Pericles Comidas clásicas,Mexico,(5) 552-3745,Sales Representative,Guillermo Fernández,(5) 545-3745,Calle Dr. Jorge Cash 321,México D.F.,05033,SP
PICCO,Piccolo und mehr,Austria,6562-9722,Sales Manager,Georg Pipps,6562-9723,Geislweg 14,Salzburg,5020,SP
PRINI,Princesa Isabel Vinhos,Portugal,(1) 356-5634,Sales Representative,Isabel de Castro,(02) 201 24 68,Estrada da saúde n. 58,Lisboa,1756,SP
QUEDE,Que Delícia,Brazil,(21) 555-4252,Accounting Manager,Bernardo Batista,(21) 555-4545,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,RJ
QUEEN,Queen Cozinha,Brazil,(11) 555-1189,Marketing Assistant,Lúcia Carvalho,(02) 201 24 68,"Alameda dos Canàrios, 891",Sao Paulo,05487-020,SP
QUICK,QUICK-Stop,Germany,0372-035188,Accounting Manager,Horst Kloss,(02) 201 24 68,Taucherstraße 10,Cunewalde,01307,SP
RANCH,Rancho grande,Argentina,(1) 123-5555,Sales Representative,Sergio Gutiérrez,(1) 123-5556,Av. del Libertador 900,Buenos Aires,1010,SP
RATTC,Rattlesnake Canyon Grocery,USA,(505) 555-5939,Assistant Sales Representative,Paula Wilson,(505) 555-3620,2817 Milton Dr.,Albuquerque,87110,NM
REGGC,Reggiani Caseifici,Italy,0522-556721,Sales Associate,Maurizio Moroni,0522-556722,Strada Provinciale 124,Reggio Emilia,42100,SP
RICAR,Ricardo Adocicados,Brazil,(21) 555-3412,Assistant Sales Agent,Janete Limeira,(02) 201 24 68,"Av. Copacabana, 267",Rio de Janeiro,02389-890,RJ
RICSU,Richter Supermarkt,Switzerland,0897-034214,Sales Manager,Michael Holz,(02) 201 24 68,Grenzacherweg 237,Genève,1203,SP
ROMEY,Romero y tomillo,Spain,(91) 745 6200,Accounting Manager,Alejandra Camino,(91) 745 6210,"Gran Vía, 1",Madrid,28001,SP
SANTG,Santé Gourmet,Norway,07-98 92 35,Owner,Jonas Bergulfsen,07-98 92 47,Erling Skakkes gate 78,Stavern,4110,SP
SAVEA,Save-a-lot Markets,USA,(208) 555-8097,Sales Representative,Jose Pavarotti,(02) 201 24 68,187 Suffolk Ln.,Boise,83720,ID
SEVES,Seven Seas Imports,UK,(171) 555-1717,Sales Manager,Hari Kumar,(171) 555-5646,90 Wadhurst Rd.,London,OX15 4NB,SP
SIMOB,Simons bistro,Denmark,31 12 34 56,Owner,Jytte Petersen,31 13 35 57,Vinbæltet 34,Kobenhavn,1734,SP
SPECD,Spécialités du monde,France,(1) 47.55.60.10,Marketing Manager,Dominique Perrier,(1) 47.55.60.20,"25, rue Lauriston",Paris,75016,SP
SPLIR,Split Rail Beer & Ale,USA,(307) 555-4680,Sales Manager,Art Braunschweiger,(307) 555-6525,P.O. Box 555,Lander,82520,WY
SUPRD,Suprêmes délices,Belgium,(071) 23 67 22 20,Accounting Manager,Pascale Cartrain,(071) 23 67 22 21,"Boulevard Tirou, 255",Charleroi,B-6000,SP
THEBI,The Big Cheese,USA,(503) 555-3612,Marketing Manager,Liz Nixon,(02) 201 24 68,89 Jefferson Way Suite 2,Portland,97201,OR
THECR,The Cracker Box,USA,(406) 555-5834,Marketing Assistant,Liu Wong,(406) 555-8083,55 Grizzly Peak Rd.,Butte,59801,MT
TOMSP,Toms Spezialitäten,Germany,0251-031259,Marketing Manager,Karin Josephs,0251-035695,Luisenstr. 48,Münster,44087,SP
TORTU,Tortuga Restaurante,Mexico,(5) 555-2933,Owner,Miguel Angel Paolino,(02) 201 24 68,Avda. Azteca 123,México D.F.,05033,SP
TRADH,Tradição Hipermercados,Brazil,(11) 555-2167,Sales Representative,Anabela Domingues,(11) 555-2168,"Av. Inês de Castro, 414",Sao Paulo,05634-030,SP
TRAIH,Trail's Head Gourmet Provisioners,USA,(206) 555-8257,Sales Associate,Helvetius Nagy,(206) 555-2174,722 DaVinci Blvd.,Kirkland,98034,WA
VAFFE,Vaffeljernet,Denmark,86 21 32 43,Sales Manager,Palle Ibsen,86 22 33 44,Smagsloget 45,Århus,8200,SP
VICTE,Victuailles en stock,France,78.32.54.86,Sales Agent,Mary Saveley,78.32.54.87,"2, rue du Commerce",Lyon,69004,SP
VINET,Vins et alcools Chevalier,France,26.47.15.10,Accounting Manager,Paul Henriot,26.47.15.11,59 rue de l'Abbaye,Reims,51100,SP
WANDK,Die Wandernde Kuh,Germany,0711-020361,Sales Representative,Rita Müller,0711-035428,Adenauerallee 900,Stuttgart,70563,SP
WARTH,Wartian Herkku,Finland,981-443655,Accounting Manager,Pirkko Koskitalo,981-443655,Torikatu 38,Oulu,90110,SP
WELLI,Wellington Importadora,Brazil,(14) 555-8122,Sales Manager,Paula Parente,(02) 201 24 68,"Rua do Mercado, 12",Resende,08737-363,SP
WHITC,White Clover Markets,USA,(206) 555-4112,Owner,Karl Jablonski,(206) 555-4115,305 - 14th Ave. S. Suite 3B,Seattle,98128,WA
WILMK,Wilman Kala,Finland,90-224 8858,Owner/Marketing Assistant,Matti Karttunen,90-224 8858,Keskuskatu 45,Helsinki,21240,SP
WOLZA,Wolski  Zajazd,Poland,(26) 642-7012,Owner,Zbyszek Piestrzeniewicz,(26) 642-7012,ul. Filtrowa 68,Warszawa,01-012,SP
